,Title,Description,Date Created,Origin,Destination,Author,Recipient,Start,End
69,"1865 May 21, Baltimore, to Mother and sisters","Dated by archivist : 1865

Note in pencil at end of letter: ""Rec'd package by E Carey but have not --- --- & dont know when I shall get the thing made.""

Fairfield is the country home of Alfred Cope, father of Elizabeth Waln Cope, the bride ""Lilly"" mentioned in the letter. Fairfield was located on York Road near Olney Avenue. Elizabeth married Philip Cresson Garrett on May 18, 1865. (From Stokes' Stokes Cope Emlen Evans Genealogy, cht. 3 and p. 39.)

Federal Hill overlooks the city and harbor of Baltimore and is so named because of the celebrations held there in 1788 when Maryland ratified the Federal Constitution. (From Miller's Baltimore Transitions: Views of an American City in Flux, p. 16.)

The Copes' home in Susquehanna is Woodbourne .

The monument is probably the Washington Monument in Baltimore. Clemmy refers to it in an earlier letter. (Photograph scanned from Miller's Baltimore Transitions: Views of an American City in Flux, p. 119.)",1865-05-21,Baltimore (Md.),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872",Baltimore (Md.),Philadelphia (Pa.)
75,"1867 July 21, Laurel House, to Father",,1867-07-21,Catskill (N.Y.),England,"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909",Catskill (N.Y.),England
77,"1867 August 25, Newport, to Father",The John Jenks referred to may be John Story Jenks (1839?-1923).,1867-08-25,Newport (R.I.),England,"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909",Newport (R.I.),England
86,"1869 August 29, Cape May, to Rachel, Philadelphia",The envelope in which the letter was enclosed has a long note written on it at an undetermined later date by Elizabeth S. Cope.,1869-08-29,Cape May (N.J.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Evans, Jonathan, 1843-1911","Evans, Rachel Reeve Cope, 1850-1939",Cape May (N.J.),Philadelphia (Pa.)
107,"1873 February 26, Washington, D.C., to Mama",,1873-02-26,Washington (D.C.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",Washington (D.C.),Philadelphia (Pa.)
109,"1873 July 22, Awbury, to dearest sister, Liverpool","Accompanying envelope contains note written at a later date by Elizabeth S. Cope.
 
 Letter and note on envelope mention an accompanying note by Alexis Cope which appears to have been lost since then.",1873-07-22,"Awbury (Philadelphia, Pa.)",Liverpool (England),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","Awbury (Philadelphia, Pa.)",Liverpool (England)
111,"1873 August 9, Mt. Desert, to Mother, Philadelphia",Accompanying envelope contains note written at a later date by Elizabeth S. Cope.,1873-08-09,Mount Desert Island (Me.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",Mount Desert Island (Me.),Philadelphia (Pa.)
113,"1873 October 7, Haverford, to Sister, London","Letter begun on October 7th, completed on October 8th.",1873-10-07,Haverford (Pa. : Township),London (England),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",Haverford (Pa. : Township),London (England)
114,"1873 October 10, Awbury, to Mama, Upper Lehigh",The Jacob Jones mentioned may be Jacob P. Jones (1805-1885).,1873-10-10,"Awbury (Philadelphia, Pa.)",Luzerne County (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","Awbury (Philadelphia, Pa.)",Luzerne County (Pa.)
115,"1873 October 17, Awbury, to My dear brother",,1873-10-17,"Awbury (Philadelphia, Pa.)",Luzerne County (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Thomas P. (Thomas Pim), 1852-1944","Awbury (Philadelphia, Pa.)",Luzerne County (Pa.)
116,"1874 January 2, Connymead, to My dear Cousin, Awbury",,1874-01-02,"Overbrook (Philadelphia, Pa.)","Awbury (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Anna Stewardson Brown, 1822-1916","Overbrook (Philadelphia, Pa.)","Awbury (Philadelphia, Pa.)"
118,"1874 May 29, Atlantic City, to Sister mine, Germantown",,1874-05-29,Atlantic City (N.J.),"Germantown (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",Atlantic City (N.J.),"Germantown (Philadelphia, Pa.)"
120,"1874 August 5, Chalybeate Springs, to little Ann, Philadelphia","Second half of the letter was written by Alexis Cope, to whom Elizabeth Cope dictated.",1874-08-05,Sweet Chalybeate Springs (Va.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Stork, Anna Brown Cope, b. 1862",Sweet Chalybeate Springs (Va.),Philadelphia (Pa.)
121,"1875 May 28, Lechauweki Springs, to dear ones at home, Philadelphia",,1875-05-28,Fountain Hill (Pa.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",,Fountain Hill (Pa.),Philadelphia (Pa.)
125,"1876 April 4, Connymead, to Alexis & Lily, Rome",,1876-04-12,"Overbrook (Philadelphia, Pa.)",Rome (Italy),"Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Overbrook (Philadelphia, Pa.)",Rome (Italy)
128,"1876 December 17, Adams St Germantown, to Dear Sister Anna",includes a NB later written by Elizabeth Stewardson Cope on 8/1/1930.,1876-12-17,"Germantown (Philadelphia, Pa.)","Awbury (Philadelphia, Pa.)","Cope, Elizabeth Waln Stokes, 1823-1902|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","Germantown (Philadelphia, Pa.)","Awbury (Philadelphia, Pa.)"
132,"1877 June 30, Catskill, to My dear Sisters, England",,1877-06-30,Catskill (N.Y.),England,"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916|Cope, Caroline E. (Caroline Elizabeth), 1840-1944",Catskill (N.Y.),England
133,"1877 July, Catskill, England",Missing the first few pages.,1877-07-01,Catskill (N.Y.),England,"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916|Cope, Caroline E. (Caroline Elizabeth), 1840-1944",Catskill (N.Y.),England
138,"1877 July 27, Mulfords, to My dear A",May be missing pages from the end,1877-07-27,Catskill (N.Y.),England,"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916",Catskill (N.Y.),England
140,"1877 August 26, Montrose, to Sister",Alexis Cope's letter of 8-27-1877 to Jonathan Evans (hsc1171) was sent in the same envelope with this letter.,1877-08-26,"Montrose (Susquehanna County, Pa.)","Germantown (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","Montrose (Susquehanna County, Pa.)","Germantown (Philadelphia, Pa.)"
145,"1878 September 1, Zurich, to dear Elizabeth, Awbury",,1878-09-01,Zurich (Switzerland),"Awbury (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",Zurich (Switzerland),"Awbury (Philadelphia, Pa.)"
155,"1879 August 10, Montrose, to Rachel, Newport",,1879-08-10,"Montrose (Susquehanna County, Pa.)",Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","Montrose (Susquehanna County, Pa.)",Newport (R.I.)
163,"1880 February 8, Cannes, to Alexis","Clementine has been in France for the last 2 months and writes to Alexis T. Cope from Cannes. She expresses eagerness to return to Susquehanna County (Pennsylvania) to again see the family, but says that she would no longer like to live at Connymeade, which a very lonely place. Furthermore, Clementine advises Alexis that Connymead would be a bad place to raise children with his wife, Elizabeth S. Cope, as Quakers, because of the remoteness and lack of Friends community.",1880-02-08,Cannes (France),"Germantown (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883",Cannes (France),"Germantown (Philadelphia, Pa.)"
164,"1880 March 21, Hotel de la Paix, Rome, to Lily","Clementine describes her visits to various ruins and landmarks around the city of Rome, as well as the recent birthday celebration in the city for King Umberto I.
Before moving on to Rome, Clementine stayed with the Muller family in the French-Italian border commune of Menton, or ""Mentone"" in Italian, as she writes it.",1880-03-21,Rome (Italy),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",Rome (Italy),Philadelphia (Pa.)
165,"1880 May 5, Awbury, to Alex, Montrose",,1880-05-05,"Awbury (Philadelphia, Pa.)","Montrose (Susquehanna County, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Alexis T. (Alexis Thomas), 1850-1883","Awbury (Philadelphia, Pa.)","Montrose (Susquehanna County, Pa.)"
167,"1880 July 11, Geneva, to Alexis","Clementine writes to cousin Alexis from Geneva, where she has been for the summer months with Caroline E. and Annette Cope. The latter two are eager to return home, but Clementine prefers to stay in Europe and expresses he want to do so if it is not completely necessary to return to Connymead to see her portion of it transfered to Alexis and his family .

Clementine expresses a belief that she could get along well with her current French host family were she to remain in Geneva indefinitely.",1880-07-11,Geneva (Switzerland),"Montrose (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883",Geneva (Switzerland),"Montrose (Susquehanna County, Pa.)"
214,"1889 July 8, Awbury, to Chellie, Newport",,1889-07-08,"Awbury (Philadelphia, Pa.)",Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","Awbury (Philadelphia, Pa.)",Newport (R.I.)
289,"1897 August 4, Minnewaska New York, to Dear AC, York Harbor",,1897-08-04,Ulster County (N.Y.),York Harbor (Me.),"Cope, Clementine, 1835-1903","Evans, Anna Cope, 1875-1967",Ulster County (N.Y.),York Harbor (Me.)
299,"1898 October 25, Woodbourne, to My dear Caroline",,1898-10-25,"Woodbourne (Susquehanna County, Pa.)",Sharon (Conn.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Woodbourne (Susquehanna County, Pa.)",Sharon (Conn.)
306,"1899 August 26, Minnewaska N.Y., to dear Sis, Asquam N.H.",,1899-09-26,Ulster County (N.Y.),Holderness (N.H. : Town),"Cope, Clementine, 1835-1903",,Ulster County (N.Y.),Holderness (N.H. : Town)
313,"1900 July 8, Bay Voyage Hotel Jamestown, Conanicut, Rhode Island, to My dear Clementine, Minnewaska, New York",,1900-07-08,Conanicut Island (R.I.),Ulster County (N.Y.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",Conanicut Island (R.I.),Ulster County (N.Y.)
348,"1906 March 18, New Orleans, to My dear Caroline, Rome",,1906-03-18,New Orleans (La.),Rome (Italy),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Caroline E. (Caroline Elizabeth), 1840-1944",New Orleans (La.),Rome (Italy)
349,"1906 April 24, New Orleans, to My dear Sistes, Rome",,1906-04-24,New Orleans (La.),Rome (Italy),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Caroline E. (Caroline Elizabeth), 1840-1944",New Orleans (La.),Rome (Italy)
353,"1907 February 12, Ann Arbor, to My dear Sisters","Addressed from 110 N. State St., Ann Arbor (Mich.)",1907-02-12,Ann Arbor (Mich.),Rome (Italy),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916",Ann Arbor (Mich.),Rome (Italy)
