,Title,Description,Date Created,Origin,Author,Recipient,Start,start_lat,start_long,Year,Month,Day,Month Name,Season,Color
14,"Letter from James Monroe to Thomas P. Cope, 1822 January 17",,1822-01-17,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,1,17,January,Winter,darkred
15,"Letter from James Monroe to Thomas P. Cope, 1822 January 19",,1822-01-19,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,1,19,January,Winter,darkred
16,"Letters to Frederick Cope, 1822 February 14 and 1823 November 1",,1822-02-12/1823-11-01,Philadelphia (Pa.),,"Addressee (rcp): Cope, Frederick J., 1801-1888","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1822,2,12,February,Winter,darkred
17,"1822 February 15, Philadelphia, to My dear Elenor, Burlington",,1822-02-15,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825|Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1822,2,15,February,Winter,darkred
18,"Letter from James Monroe to Thomas P. Cope, 1822 May 12",,1822-03-12,"Henlopen, Cape (Del.)","Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 38.80305556, 'long': -75.0944444444444}",38.80305556,-75.0944444444444,1822,3,12,March,Spring,green
19,"Letter from James Monroe to Thomas P. Cope, 1822 May 14",,1822-05-14,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,5,14,May,Spring,green
20,"1822 June 19, Philadelphia, to My dearest Elenor",,1822-06-19,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1822,6,19,June,Summer,yellow
21,"Letter from James Monroe to Thomas P. Cope, 1822 June 20",,1822-06-20,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,6,20,June,Summer,yellow
22,"Letter from James Monroe to Thomas P. Cope, 1822 July 14",,1822-07-15,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,7,15,July,Summer,yellow
33,"1822 December 29, Philadelphia, to Eleanor Cope Tyson",,1822-12-29,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1822,12,29,December,Winter,darkred
34,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1822 December 30",,1822-12-30,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1822,12,30,December,Winter,darkred
38,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 January 8",,1823-01-08,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,1,8,January,Winter,darkred
39,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 January 24",,1823-01-24,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1823,1,24,January,Winter,darkred
40,"1823 January 25, Philadelphia, to Dear Sister",This is actually three letters.,1823-01-25,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890|Author (aut): Cope, Caroline Rachel, 1799-1859","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,1,25,January,Winter,darkred
41,"Statement from Thomas Pim Cope concerning the estate of William W. Drinker's father, 1823 January 29",,1823-01-29,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,1,29,January,Winter,darkred
42,"Statement from Horace Binney concerning the estate, 1823 January 30",,1823-01-30,Philadelphia (Pa.),"Author (aut): Binney, Horace, 1780-1875",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,1,30,January,Winter,darkred
43,"Letter from William Waln Drinker to Thomas Pim Cope, 1823 January 31",,1823-01-31,Philadelphia (Pa.),"Author (aut): Drinker, William Waln, 1799-1864","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,1,31,January,Winter,darkred
44,"Letter from Thomas Pim Cope to William Waln Drinker, 1823 February 3",,1823-02-03,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, William Waln, 1799-1864","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,2,3,February,Winter,darkred
45,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 February 5",,1823-02-05,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,2,5,February,Winter,darkred
48,"1823 March 20, Philadelphia, to My dear Eleanor, Burlington",,1823-03-20,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,3,20,March,Spring,green
49,"Letter from unknown sender to William Drinker Jr., 1823 June 5",Sender may be Thomas Pim Cope,1823-06-05,Philadelphia (Pa.),,"Addressee (rcp): Drinker, William, 1795-","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,6,5,June,Summer,yellow
50,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 August 11",,1823-08-11,Philadelphia County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 40.0075, 'long': -75.1338888888889}",40.0075,-75.1338888888889,1823,8,11,August,Summer,yellow
52,"1823 December 12, Philadelphia, to Elenor, Baltimore",,1823-12-12,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1823,12,12,December,Winter,darkred
53,"Letter from Thomas Pim Cope to John Murchie, 1824 January 5",,1824-01-05,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Murchie, John","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1824,1,5,January,Winter,darkred
54,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1824 February 4",,1824-02-04,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1824,2,4,February,Winter,darkred
55,"1824 September 8, Philadelphia, to Elenor, Locust Grove",,1824-09-08,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1824,9,8,September,Fall,orange
56,"1824 September 13, Philadelphia, to my Ellen, New York",,1824-09-13,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1824,9,13,September,Fall,orange
57,"1824 December 18, Philadelphia, to Josiah Forster",M' watermark.,1824-12-18,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1759-1839","Addressee (rcp): Forster, Josiah, 1782-1870","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1824,12,18,December,Winter,darkred
58,"1825 May 15, Mauch Chunk, to Thos. P. Cope, Philadelphia",,1825-05-15,Jim Thorpe (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 40.87583333, 'long': -75.7322222222222}",40.87583333,-75.7322222222222,1825,5,15,May,Spring,green
61,"1825 October 30, Stoddartsville, to Aunt Mary Cope",,1825-10-30,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1825,10,30,October,Fall,orange
62,"1825 December 13, Philadelphia, to My dearly beloved Brother",,1825-12-13,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1825,12,13,December,Winter,darkred
64,"1826 September 12, Montrose, to Sisters, Philadelphia",,1826-09-12,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 41.83388889, 'long': -75.8769444444444}",41.83388889,-75.8769444444444,1826,9,12,September,Fall,orange
65,"1826 October 22, to Brother, Philadelphia","Letter chronicles some of William D. Cope's visits to land tracts owned or previously owned by William Drinker in Susquehanna County, Pa. Prices for land and taxes in 1826 are mentioned throughout.
 
 William makes mention of land owners' using labor to pay road taxes instead of cash.
 
 Also contains William's account of getting lost on horseback in the forest of Susquehanna Co. during a thunderstorm, encountering what he believed could have been a panther.",1826-10-22,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.83388889, 'long': -75.8769444444444}",41.83388889,-75.8769444444444,1826,10,22,October,Fall,orange
66,"1827 April 7, Philadelphia, to My dearest brother",,1827-04-07,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1827,4,7,April,Spring,green
67,"Letters from Thomas Pim Cope to Chas. Miner, 1827 April 30 and September 21",,1827-04-30/1827-09-21,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Miner, Charles, 1780-1865","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1827,4,30,April,Spring,green
68,"1828 August 2, Woodbourne, to Brother, Philadelphia",,1828-08-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1828,8,2,August,Summer,yellow
69,"1828 September 10, Woodbourne, to Brother, Philadelphia",,1828-09-10,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1828,9,10,September,Fall,orange
70,"1828 November 17, Woodbourne, to Brother, Philadelphia",Letter introduces a legal action brought by William Drinker against a Montrose store-keeper named Martin Curtis over issues of land ownership.,1828-11-17,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1828,11,17,November,Fall,orange
72,"1828 December 12, Woodbourne, to Brother, Philadelphia",,1828-12-12,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1828,12,12,December,Winter,darkred
73,"1829 February 16, Woodbourne, to Brother, Philadelphia",,1829-02-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1829,2,16,February,Winter,darkred
76,"1829 May 11, Woodbourne, to Brother, Philadelphia","Letter introduces a Scotch farmer recently hired by William D. Cope whose ""industry & fidelity"" William trusts out of the reputation of his countrymen. William regrets that the farmer has so many female relatives whom he cannot employ.
 
 Earliest reference to Elizabeth Stokes Waln Cope, second wife of father Thomas P. Cope, in letters of William D. Cope: ""our new Mother"".",1829-05-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1829,5,11,May,Spring,green
77,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1829 May 12",,1829-05-12,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1829,5,12,May,Spring,green
78,"1829 May 27, Woodbourne, to Brother, Philadelphia",,1829-05-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1829,5,27,May,Spring,green
79,"1829 June 29, Philada, to Brother",,1829-06-29,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1829,6,29,June,Summer,yellow
80,"1829 July 13, Woodbourne, to Brother, Philadelphia","Includes partial transcript of letter from Daniel Stroud to Enoch Walker on the subject of Hicksites and the 1827 separation.
 Note in other hand on last page reads: ""Hicksites- Quotation from letter of Daniel Stroud - W.D.C. improving his farm & buildings - Loves nature, ""James & Sally Biddle"" return to Montrose with relatives""",1829-07-13,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1829,7,13,July,Summer,yellow
82,"1829, August, 9, Philadelphia, to Dear Brother, Albany, N. Y.",,1829-08-09,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1829,8,9,August,Summer,yellow
83,"1829 August 25, Boston, to Father",Entire letter copied in another hand.,1829-08-25,Boston (Mass.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 42.35833333, 'long': -71.0597222222222}",42.35833333,-71.0597222222222,1829,8,25,August,Summer,yellow
84,"1829 August 29, New York, to children",,1829-08-29,New York (N.Y.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890|Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Thomas Pim, 1823-1900","{'lat': 40.71416667, 'long': -74.0058333333333}",40.71416667,-74.0058333333333,1829,8,29,August,Summer,yellow
85,"Letter from William J. Duane to Jonathan Roberts, 1829 September 22",,1829-09-22,Baltimore (Md.),"Author (aut): Duane, William J. (William John), 1780-1865","Addressee (rcp): Roberts, Jonathan","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1829,9,22,September,Fall,orange
86,"1829 October 7, Woodbourne, to Brother, Philadelphia",,1829-10-07,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1829,10,7,October,Fall,orange
87,"Letter from Thomas P. Cope to the Pres. & Directors of the Ch & Del Canal Company, 1829 November 2",,1829-11-02,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1829,11,2,November,Fall,orange
88,"Letter from William Drinker Cope to Thomas Pim Cope, 1830 February 24",,1830-02-24,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,2,24,February,Winter,darkred
89,"1830 March 17, Woodbourne, to Brother, Philadelphia",,1830-03-17,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,3,17,March,Spring,green
90,"1830 April 1, Woodbourne, to Brother, Philadelphia","Includes transcript of letter from Sharp D. Lewis, Treasurer of Luzerne County, to William D. Cope, regarding land speculation and particular tracts in Pennsylvania.
 Note in other hand on last page: ""Allusion to home with Enoch Walker & desire to have his own house""",1830-04-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,4,1,April,Spring,green
91,"1830 May 15, Woodbourne, to Brother, Philadelphia",,1830-05-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,5,15,May,Spring,green
92,"Letter from M. Carpenter to Thomas P. Cope, 1830 May 21",,1830-05-21,Buffalo (N.Y.),"Author (aut): Carpenter, M.",,"{'lat': 42.88638889, 'long': -78.8783333333333}",42.88638889,-78.8783333333333,1830,5,21,May,Spring,green
93,"1830 July 15, Woodbourne, to Brother, Philadelphia",,1830-07-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,7,15,July,Summer,yellow
94,"1830 July 29, Woodbourne, to Brother, Philadelphia","Includes William D. Cope's acknowledgment of Henry Cope's power of attorney, regarding collection of interest on loan to Chesapeake & Delaware Canal Co.
 William referenced Henry's description of ""ye proposed institution for imparting instruction in ye higher branches of learning to the children of Friends""--possibly an early reference to the Friends Central School, which preceded Haverford College.",1830-07-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,7,29,July,Summer,yellow
95,"1830 August 23, Woodbourne, to Brother, Philadelphia","William's description to brother Henry of the fire that recently destroyed his farm dwelling in Woodbourne, Pa. and the inabilities to have the property insured.",1830-08-23,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,8,23,August,Summer,yellow
96,"1830 September 2, Woodbourne, to Brother, Philadelphia",,1830-09-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,9,2,September,Fall,orange
97,"1830 September 20, Woodbourne, to Sisters & Brother, Philadelphia","Two separate letters--the first addressed to ""Sisters, Caroline & Elenor"" and the second to ""Brother--sent as one to Henry Cope.",1830-09-20,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865|Addressee (rcp): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,9,20,September,Fall,orange
98,"1830 October 16, Woodbourne, to Brother, Philadelphia",,1830-10-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,10,16,October,Fall,orange
99,"1830 November 3, Greensboro, to Dear Father",Letter is typed and numbered (1). Handwritten copy not present.,1830-11-03,Greensboro (N.C.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 36.0725, 'long': -79.7919444444444}",36.0725,-79.7919444444444,1830,11,3,November,Fall,orange
100,"1830 November 5, Philadelphia, to Dear Brother",,1830-11-05,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1830,11,5,November,Fall,orange
101,"1830 November 10, Woodbourne, to Brother, Philadelphia",Includes William D. Cope's acknowledgment of Henry Cope's power of attorney regarding his investment in the Union Canal Company of Pennsylvania.,1830-11-10,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1830,11,10,November,Fall,orange
102,"1830 December 28, Liverpool, to Thomas P Cope, Philadelphia",,1830-12-28,Liverpool (England),"Author (aut): Cropper, James, 1773-1840","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1830,12,28,December,Winter,darkred
104,"Letter from Horatio Gates Spafford to Thomas Pim Cope, 1831 January 13",,1831-01-13,Lansingburgh (N.Y.),"Author (aut): Spafford, Horatio Gates, 1778-1832","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 42.78444444, 'long': -73.6694444444445}",42.78444444,-73.6694444444445,1831,1,13,January,Winter,darkred
