Title,Description,Date Created,Genre,Precise Origin,Origin,Precise Destination,Destination,Geographic Subject,Author,Recipient,PID,Subjects (Name),Subjects (Topic),Shelf Locator,Local Identifier,Note,Item URL
"Letter from James Monroe to Thomas P. Cope, 1822 January 19",,1822-01-19,business letters,,Liverpool (England),,Philadelphia (Pa.),Liverpool (England)|Philadelphia (Pa.),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134034,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_15,,/object/hc134034
"Letters to Frederick Cope, 1822 February 14 and 1823 November 1",,1822-02-12/1823-11-01,business letters,,Philadelphia (Pa.),,Greensburg (Pa.),Philadelphia (Pa.)|Greensburg (Pa.),,"Addressee (rcp): Cope, Frederick J., 1801-1888",hc:131466,,,"HC.MC-1242, Box 7, Folder 10",mc1242_07_10_08_001,,/object/hc131466
"1822 February 15, Philadelphia, to My dear Elenor, Burlington",,1822-02-15,letters (correspondence),,Philadelphia (Pa.),,,Burlington (N.J.)|Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825|Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109703,"person:Drinker, Joseph D., 1796-1881|person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|person:Cope, Alfred, 1806-1875|person:Reeve, Martha|person:Brown, Elizabeth S.",Older people|Letter writing|Penmanship|Clothing and dress|Clothing and dress--Care|Responsibility|Child rearing|Wounds and injuries|Medicine|Cold (Disease)|Diseases,"HC.MC-1170, Box 1",hsc1621,,/object/hc109703
"Letter from James Monroe to Thomas P. Cope, 1822 May 12",,1822-03-12,business letters,,"Henlopen, Cape (Del.)",,Philadelphia (Pa.),"Henlopen, Cape (Del.)","Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134035,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_16,,/object/hc134035
"Letter from James Monroe to Thomas P. Cope, 1822 May 14",,1822-05-14,business letters,,Liverpool (England),,Philadelphia (Pa.),Liverpool (England)|Philadelphia (Pa.),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134038,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_19,,/object/hc134038
"1822 June 19, Philadelphia, to My dearest Elenor",,1822-06-19,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109704,"person:Brown, Mary|person:Cope, Rachel Reeve, 1794-1863",Virtue|Modesty|Child rearing|Manners and customs,"HC.MC-1170, Box 1",hsc1622,,/object/hc109704
"Letter from James Monroe to Thomas P. Cope, 1822 June 20",,1822-06-20,business letters,,Liverpool (England),,Philadelphia (Pa.),Liverpool (England)|Philadelphia (Pa.),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134039,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_20,,/object/hc134039
"Letter from James Monroe to Thomas P. Cope, 1822 July 14",,1822-07-15,business letters,,Liverpool (England),,Philadelphia (Pa.),Liverpool (England)|Philadelphia (Pa.),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134040,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_21,,/object/hc134040
"Letter from Henry Waln Drinker to Thomas Pim Cope, 1822 November 11",,1822-11-11,business letters,,,,,,"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130817,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_002,,/object/hc130817
"Letter from John Drinker to Thomas Pim Cope, 1822 November 25",,1822-11-25,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130818,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_003,,/object/hc130818
"Letter from Thomas Pim Cope to John Drinker, 1822 November 26",,1822-11-26,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",hc:130819,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_004,,/object/hc130819
"Letter from John Drinker to Thomas Pim Cope, 1822 November 26",,1822-11-26,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129723,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_05,,/object/hc129723
"Letter from John Drinker to Thomas Pim Cope, 1822 November 29",,1822-11-29,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130820,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_005,,/object/hc130820
"Letter from Thomas Pim Cope to his nephew, either Henry Waln or John Drinker, 1822 November 30",,1822-11-30,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,hc:130821,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_006,,/object/hc130821
"Letter from John Drinker to Thomas Pim Cope, 1822 November 30 and December 1",,1822-11-30/1822-12-01,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129724,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_08,,/object/hc129724
"Letter from John Drinker to Thomas Pim Cope, 1822 December 20",,1822-12-20,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130822,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_007,,/object/hc130822
"Letter from James S. Smith to Henry Hollingsworth relating to the Cope/Drinker plans to divide an estate, 1822 December 24",,1822-12-24,business letters,,,,,,"Author (aut): Smith, James Somers, 1782-1861","Addressee (rcp): Hollingsworth, Henry, 1781-1854",hc:130823,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_008,,/object/hc130823
"Letter from Thomas Pim Cope to John Drinker, 1822 December 28",,1822-12-28,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",hc:130824,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_009,,/object/hc130824
"1822 December 29, Philadelphia, [to Eleanor Cope Tyson]",,1822-12-29,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109705,"person:Cope, Alfred, 1806-1875|person:Armstrong, Ellen Rosalie|person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|person:Embree, Rebecca|person:Cope, Marmaduke Cooper, 1804-1897|person:Cope, Jasper, 1775-1856|person:Cope, John E.|person:Yarnall, Emma Cope, b. 1808",Accidents|Wounds and injuries|Guinea pigs|Letter writing|Society of Friends|Spirituality|Faith|God,"HC.MC-1170, Box 1",hsc1623,,/object/hc109705
"Letter from Henry Waln Drinker to Thomas Pim Cope, 1822 December 30",,1822-12-30,business letters,Covington,Luzerne County (Pa.),,,,"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129725,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_12,,/object/hc129725
"Letter from John Drinker to Thomas Pim Cope, 1822 December 31",,1822-12-31,business letters,,,,,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129726,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_13,,/object/hc129726
"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 January 1",,1823-01-01,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",hc:130825,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_010,,/object/hc130825
"Letter from Thomas Pim Cope to John Drinker, 1823 January 3",,1823-01-03,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",hc:129727,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_16,,/object/hc129727
"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 January 8",,1823-01-08,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",hc:130826,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_011,,/object/hc130826
"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 January 24",,1823-01-24,business letters,Drinker Settlement,Luzerne County (Pa.),,,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129728,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_18,,/object/hc129728
"1823 January 25, Philadelphia, to Dear Sister",This is actually three letters.,1823-01-25,letters (correspondence),,Philadelphia (Pa.),,Burlington (N.J.),Rocky Mountains|Missouri|Philadelphia (Pa.)|Burlington (N.J.),"Author (aut): Cope, Alfred, 1806-1875|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890|Author (aut): Cope, Caroline Rachel, 1799-1859","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:104189,"person:Smith, Daniel B., 1792-1883|person:Morton, Esther, 1797-1865|person:Cope, Caroline Rachel, 1799-1859|person:Haines, Mary D. (Mary Drinker Cope), 1819-1890",Reading|Flowers|Schools|Marriage proposals|Clothing and dress,"HC.MC-1170, Box 2",hsc0935,,/object/hc104189
"Statement from Thomas Pim Cope concerning the estate of William W. Drinker's father, 1823 January 29",,1823-01-29,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,hc:130828,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_013,,/object/hc130828
"Statement from Horace Binney concerning the estate, 1823 January 30",,1823-01-30,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Binney, Horace, 1780-1875",,hc:130829,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_014,,/object/hc130829
"Letter from William Waln Drinker to Thomas Pim Cope, 1823 January 31",,1823-01-31,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Drinker, William Waln, 1799-1864","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130830,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_015,,/object/hc130830
"Letter from Thomas Pim Cope to William Waln Drinker, 1823 February 3",,1823-02-03,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, William Waln, 1799-1864",hc:130831,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_016,,/object/hc130831
"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 February 5",,1823-02-05,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",hc:130832,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_017,,/object/hc130832
"Letter from Thomas Pim Cope to Horace Binney, 1823 March 3",,1823-03-03,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Binney, Horace, 1780-1875",hc:130833,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_018,,/object/hc130833
"Letter from Joseph Reed Ingersoll to Horace Binney, 1823 March 5",,1823-03-05,business letters,,,,,,"Author (aut): Ingersoll, Joseph R. (Joseph Reed), 1786-1868","Addressee (rcp): Binney, Horace, 1780-1875",hc:130834,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_019,,/object/hc130834
"1823 March 20, Philadelphia, to My dear Eleanor, Burlington",,1823-03-20,letters (correspondence),,Philadelphia (Pa.),,Burlington (N.J.),Burlington (N.J.)|Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109706,"person:Sharpless, Benjamin, 1769-1852|person:Cope, William D. (William Drinker), 1798-1873",Responsibility|Faith|Ethics|God|Parental influences|Diseases,"HC.MC-1170, Box 1",hsc1624,,/object/hc109706
"Letter from unknown sender to William Drinker Jr., 1823 June 5",Sender may be Thomas Pim Cope,1823-06-05,letters (correspondence),,Philadelphia (Pa.),,,"Philadelphia (Pa.)|Montrose (Susquehanna County, Pa.)",,"Addressee (rcp): Drinker, William, 1795-",hc:128384,,,"HC.MC-1242, Box 3, Folder 4",mc1242_03_04_05_001,,/object/hc128384
"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 August 11",,1823-08-11,business letters,,Philadelphia County (Pa.),,,Philadelphia County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:129730,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_27,,/object/hc129730
"Letter from William Waln Drinker to Thomas Pim Cope, 1823 August 12",,1823-08-12,business letters,,,,,,"Author (aut): Drinker, William Waln, 1799-1864","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:130836,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_021,,/object/hc130836
"1823 December 12, Philadelphia, [to Elenor], Baltimore",,1823-12-12,letters (correspondence),,Philadelphia (Pa.),,Baltimore (Md.),"Germantown (Philadelphia, Pa.)|Delaware River (N.Y.-Del. and N.J.)|Philadelphia (Pa.)|Baltimore (Md.)","Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109707,"person:Cope, Henry, 1793-1865|person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|person:Cope, Caleb, 1736-1824|person:Cope, Alfred, 1806-1875|person:Cope, William D. (William Drinker), 1798-1873|person:Cope, Rachel Reeve, 1794-1863|person:Gummere, Samuel James, 1811-1874|person:Smith, Daniel B., 1792-1883",,"HC.MC-1170, Box 1",hsc1625,,/object/hc109707
"Letter from Thomas Pim Cope to John Murchie, 1824 January 5",,1824-01-05,business letters,,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Murchie, John",hc:131705,,,"HC.MC-1242, Box 15, Folder 9",mc1242_15_09_15_001,,/object/hc131705
"Letter from Thomas Pim Cope to Henry Waln Drinker, 1824 February 4",,1824-02-04,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",hc:130841,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_026,,/object/hc130841
"1824 September 8, Philadelphia, [to Elenor], Locust Grove",,1824-09-08,letters (correspondence),,Philadelphia (Pa.),Locust Grove,Rockway (N.J.),Schooleys Mountain (N.J.)|Mauch Chunk (Pa.)|Philadelphia (Pa.)|Rockaway (N.J.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109708,"person:Cope, Henry, 1793-1865|person:Cope, William D. (William Drinker), 1798-1873|person:Cope, Thomas Pim, 1823-1900|person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881",Diseases|Death|God|Faith|Family,"HC.MC-1170, Box 1",hsc1626,,/object/hc109708
"1824 September 13, Philadelphia, to my Ellen, New York",,1824-09-13,letters (correspondence),,Philadelphia (Pa.),,New York (N.Y.),New York (N.Y.)|Mauch Chunk (Pa.)|Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109709,"person:Sharpless, Benjamin, 1769-1852|person:Hoopes, Amy|person:Hoopes, Jesse|person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|person:Cope, William D. (William Drinker), 1798-1873|person:Haines, Mary D. (Mary Drinker Cope), 1819-1890",,"HC.MC-1170, Box 1",hsc1627,,/object/hc109709
"1824 December 18, Philadelphia, to Josiah Forster",M' watermark.,1824-12-18,letters (correspondence),,Philadelphia (Pa.),,Tottenham (England),"Philadelphia (Pa.)|Tottenham (London, England)","Author (aut): Evans, Jonathan, 1759-1839","Addressee (rcp): Forster, Josiah, 1782-1870",hc:104092,,,"HC.MC-1170, Box 7",hsc0829,,/object/hc104092
"1825 May 15, Mauch Chunk, [to Thos. P. Cope], Philadelphia",,1825-05-15,letters (correspondence),Mauch Chunk (Pa.),Jim Thorpe (Pa.),,Philadelphia (Pa.),"Bristol (Pa.)|Trenton (N.J.)|Delaware River (N.Y.-Del. and N.J.)|New Hope (Pa.)|Easton (Northampton County, Pa.)|Alps, Swiss (Switzerland)|Mauch Chunk (Pa.)|Philadelphia (Pa.)","Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:97125,"person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881",Voyages and travels|Nature|Family,"HC.MC-1170, Box 2",hsc0725,,/object/hc97125
"1825 August 10, [to Henry, Rachel, and Eleanor], Philadelphia",,1825-08-10,letters (correspondence),,,,Philadelphia (Pa.),Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Cope, Henry, 1793-1865|Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109712,"person:Haines, Mary D. (Mary Drinker Cope), 1819-1890",Voyages and travels|Weather|Health|Faith,"HC.MC-1170, Box 1",hsc1630,,/object/hc109712
"Letter from Thomas Pim Cope to Mary Drinker Cope, 1825 October",,1825-10-01,letters (correspondence),,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Mary Drinker, 1766-1825",hc:128376,,,"HC.MC-1242, Box 3, Folder 3",mc1242_03_03_18_001,,/object/hc128376
"1825 October 30, Stoddartsville, to Aunt Mary Cope",,1825-10-30,letters (correspondence),Covington,Luzerne County (Pa.),,Philadelphia (Pa.),Philadelphia (Pa.)|Stoddartsville (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890",hc:96956,"person:Hicks, Elias, 1748-1830|person:Howgill, Francis, 1618-1669",,HC.MC-1170,hsc0539,,/object/hc96956
"1825 December 13, Philadelphia, to My dearly beloved Brother",,1825-12-13,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",hc:109630,"person:Cope, Francis, 1794-1816|person:Cope, Mary Drinker, 1766-1825",Death|Death--Religious aspects--Society of Friends|Bereavement|Bereavement--Religious aspects--Society of Friends|Faith,"HC.MC-1170, Box 4",hsc1540,,/object/hc109630
"Letter from Thomas Pim Cope to Abigail Barker, 1826 January 2",,1826-01-02,letters (correspondence),,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Barker, Abigail, 1773-1840",hc:127571,,,"HC.MC-1242, Box 3, Folder 4",mc1242_03_04_06,,/object/hc127571
