Title,Description,Date Created,Genre,Precise Origin,Origin,Precise Destination,Destination,Geographic Subject,Author,Recipient,PID,Subjects (Name),Subjects (Topic),Shelf Locator,Local Identifier,Note,Item URL
"1852 July 12, Woodbourne, to Annie, Philadelphia",,1852-07-02,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,[Philadelphia (Pa.)],"Pottstown (Pa.)|Philadelphia (Pa.)|Port Clinton (Pa.)|Wilkes-Barre (Pa.)|Wyoming County (Pa.)|Tunkhannock (Pa.)|Reading (Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104329,"Cope, William D. (William Drinker), 1798-1873|Cope, Susan L. Newbold, 1805-1872|Cope, Thomas P. (Thomas Pim), 1768-1854|Cope, Henry, 1793-1865|Cope, Rachel Reeve, 1794-1863|Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Cope, Thomas Pim, 1823-1900|Garrett, Elizabeth Waln Cope, 1841-1931",Voyages and travels,"HC.MC-1170, Box 3",hsc1082,,/object/hc104329
"1852 July 12, Woodbourne, to Ruthanna Cope","Stationer's mark: ""SUPER FINE"" surrounded by leaves.",1852-07-12,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Philadelphia (Pa.)|Wilkes-Barre (Pa.)|Tunkhannock (Pa.)|Pottstown (Pa.)|Port Clinton (Pa.)|Tamaqua (Pa.)|Wyoming County (Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:94852,"Reeve, Julia K.",Transportation,"HC.MC-1170, Box 3",hsc0012,,/object/hc94852
"1852 August 6, Westtown, to Sister",,1852-08-06,letters (correspondence),,Westtown (Pa.),,Dimock (Pa. : Township),West Chester (Pa.)|Westtown (Pa.),"Cope, Edgar, 1838-1895","Cope, Clementine, 1835-1903",hc:95181,"Cope, Caroline E. (Caroline Elizabeth), 1840-1944|corporate_body:Westtown Boarding School",Language and languages--Study and teaching|Family,"HC.MC-1170, Box 3",hsc0358,,/object/hc95181
"1852 November 13, West Town, to Cousin",,1852-11-13,letters (correspondence),,Westtown (Pa.),,,,"Cope, Edgar, 1838-1895",,hc:95182,,,"HC.MC-1170, Box 3",hsc0359,,/object/hc95182
"1852 December 3, West Town, to Clemmy",,1852-12-03,letters (correspondence),,Westtown (Pa.),,,,"Cope, Edgar, 1838-1895","Cope, Clementine, 1835-1903",hc:95183,,,"HC.MC-1170, Box 3",hsc0360,,/object/hc95183
"1853 December 20th, Philadelphia, to Dear Clemmy",,1853-12-20,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",hc:106303,"Cope, Henry, 1793-1865|Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Cope, Ruthanna, 1834-1879|Reeve, Julia K.|Stokes, Hetty N. (Hetty Newlin), 1838-1899|Stokes, Mary, 1825-1847|Cope, Thomas P. (Thomas Pim), 1768-1854|Cope, Thomas Pim, 1823-1900|Yarnall, Mary|Newlin, Margaret|Whitall, John M., 1800-1877|Cope, Susan L. Newbold, 1805-1872|Cope, William D. (William Drinker), 1798-1873",Christmas|Gifts|Postal service|Books|Afternoon teas|Diseases|Typhoid fever|Older people--Diseases|Quakers--Social life and customs|Souvenirs (Keepsakes)|Newspapers,"HC.MC-1170, Box 3",hsc1416,,/object/hc106303
"1854 March 2, Philadelphia, to My dear Clemmy, Susquehannah County PA",,1854-03-02,letters (correspondence),,Philadelphia (Pa.),,[Susquehanna County (Pa.)],Susquehanna County (Pa.)|Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",hc:106304,"Cope, Henry, 1850-1924|Cope, Francis, 1852-1854|Cope, Mary Stokes, 1853-1888|Cope, Susan L. Newbold, 1805-1872|Stokes, Mary, 1825-1847|Cope, Thomas P. (Thomas Pim), 1768-1854|Stokes, John, 1800-1868|Cope, Alfred, 1806-1875|Cope, Rachel Reeve, 1794-1863|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Thomas Pim, 1823-1900|Walker, Sarah Miller, 1799-1874|Pleasants, Laura|Stokes, Hannah Smith, 1799-1859|Stokes, Henry|Reeve, Julia K.|Yarnall, Mary|Wood, Julia|Cope, Francis Reeve, 1821-1909",Letter writing|Child care|Newspapers|Older people--Diseases|Snow|Sleighs|Summer schools|Rivers|Reading,"HC.MC-1170, Box 3",hsc1417,,/object/hc106304
"1854 March 26, West Town, to Cousin",Edgar hs recently learned of his acceptance to Haverford College.,1854-03-26,letters (correspondence),,Westtown (Pa.),,Philadelphia (Pa.),Philadelphia (Pa.)|Haverford (Pa. : Township)|Westtown (Pa.),"Cope, Edgar, 1838-1895","Cope, Ruthanna, 1834-1879",hc:95184,"Walker, George, 1797-1891|Walker, Sarah Miller, 1799-1874|Cope, Clementine, 1835-1903|corporate_body:Westtown Boarding School",Weather|School attendance|Preaching|Haverford College--Admission,"HC.MC-1170, Box 3",hsc0361,,/object/hc95184
"1854 March 30, Philadelphia, to Dear Clemmy",,1854-03-30,letters (correspondence),,Philadelphia (Pa.),,,Susquehanna County (Pa.)|Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",hc:106305,"Cope, Thomas Pim, 1823-1900|Cope, Susan L. Newbold, 1805-1872|Cope, Thomas P. (Thomas Pim), 1768-1854|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916",Weather|Storms|Family reunions|Voyages and travels,"HC.MC-1170, Box 3",hsc1418,,/object/hc106305
"1854 October 22, Haverford, to Cousin",,1854-10-22,letters (correspondence),,Haverford (Pa. : Township),,,Haverford (Pa. : Township),"Cope, Edgar, 1838-1895",,hc:95185,,,"HC.MC-1170, Box 3",hsc0362,,/object/hc95185
"1856 January 19, Philadelphia, to My dear Clemmy",,1856-01-19,letters (correspondence),,[Philadelphia (Pa.)],,,Philadelphia (Pa.)|Susquehanna County (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",hc:106306,"Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Cope, Thomas Pim, 1823-1900|Walker, George, 1797-1891|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Edgar, 1838-1895|Walker, Sarah Miller, 1799-1874|Cope, Mary Stokes, 1853-1888|Cope, Eleanor, 1854-1920|Cope, Henry, 1793-1865|Cope, Ruthanna, 1834-1879|Reeve, Julia K.|Bettle, Mary, 1833-1912",Letter writing|Books|Reading|Child care|Winter|Bedtime,"HC.MC-1170, Box 3",hsc1419,,/object/hc106306
"1856 March 9, to Ed",,1856-03-09,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, Edgar, 1838-1895",hc:94853,"Reeve, Julia K.",Health,"HC.MC-1170, Box 3",hsc0013,,/object/hc94853
"1856 June 15, Haverford, to Cousin",,1856-06-15,letters (correspondence),,Haverford (Pa. : Township),,,Haverford (Pa. : Township),"Cope, Edgar, 1838-1895",,hc:95186,"Chase, Thomas, 1827-1892|Yarnall, Ellis H., 1817-1905|Cope, Clementine, 1835-1903|Cope, Susan L. Newbold, 1805-1872|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Henry, 1793-1865|Cope, Rachel Reeve, 1794-1863|corporate_body:Haverford College",Letter writing,"HC.MC-1170, Box 3",hsc0363,,/object/hc95186
"1856 September 2, to Ed",,1856-09-02,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, E. D. (Edward Drinker), 1840-1897",hc:104330,"Cope, Thomas Pim, 1823-1900",Gossip,"HC.MC-1170, Box 3",hsc1083,,/object/hc104330
"1856 December 9, Haverford, to Cousin",,1856-12-09,letters (correspondence),,Haverford (Pa. : Township),,,Susquehanna County (Pa.)|Haverford (Pa. : Township)|Buffalo (N.Y.),"Cope, Edgar, 1838-1895",,hc:95187,"Chase, Thomas, 1827-1892|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Walker, Sarah Miller, 1799-1874|Walker, George O., b. 1838",Skating|Haverford College--Students|Health|Weather,"HC.MC-1170, Box 3",hsc0364,,/object/hc95187
"1857 May 2, Philadelphia, to Sister",,1857-05-02,letters (correspondence),,Philadelphia (Pa.),,,"Germantown (Philadelphia, Pa.)|Philadelphia (Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104367,"Cope, Francis Reeve, 1821-1909|Cope, Thomas P. (Thomas Pim), 1852-1944",Letter writing,"HC.MC-1170, Box 3",hsc1121,Last page torn off below signature.,/object/hc104367
"1858 February 2, Woodbourne, to Dear Cousin Annie",,1858-02-02,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Montrose (Susquehanna County, Pa.)|Allegheny Mountains|Camden (N.J.)|Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:106325,"Cope, William D. (William Drinker), 1798-1873|Cope, Edgar, 1838-1895|Cope, Susan L. Newbold, 1805-1872|Cope, Clementine, 1835-1903|Cope, Rachel Reeve, 1794-1863|Cooper, Joseph|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Eleanor, 1847-1860",Voyages and travels|Stagecoaches|Sweet potatoes|Gifts|Winter,"HC.MC-1170, Box 3",hsc1438,,/object/hc106325
"1858 March 3, Woodbourne, to My dear Annie",,1858-03-03,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"England|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104331,"Garrett, Elizabeth Waln Cope, 1841-1931|Cope, E. D. (Edward Drinker), 1840-1897|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Thomas Pim, 1823-1900|Cope, Edgar, 1838-1895|Cope, Rachel Reeve, 1794-1863|Cope, Alfred, 1806-1875",Family,"HC.MC-1170, Box 3",hsc1084,,/object/hc104331
"1858 April 14, Woodbourne, to My Very Dear Cousin Annie",,1858-04-14,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Woodbourne (Susquehanna County, Pa.)|Montrose (Susquehanna County, Pa.)|Bristol (Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Ruthanna, 1834-1879",hc:106324,"Cope, Clementine, 1835-1903|Cope, Eleanor, 1847-1860|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Evans, Rachel Reeve Cope, 1850-1939|Cope, Rachel Reeve, 1794-1863",Schools|Weather|Voyages and travels,"HC.MC-1170, Box 3",hsc1437,,/object/hc106324
"1858 July 25, Awbury, to My dear girls, Woodbourne",,1858-07-25,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,"[Woodbourne (Susquehanna County, Pa.)]","Montrose (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)|Washington (D.C.)|Riverton (Pa.)|Paris (France)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903|Cope, Ruthanna, 1834-1879",hc:106307,"Reeve, Julia K.|Cope, Eleanor, 1847-1860|Browning, Elizabeth Barrett, 1806-1861|Cope, Thomas Pim, 1823-1900|Cope, Alfred, 1806-1875|Cope, Rachel Reeve, 1794-1863|Cope, Henry, 1793-1865|Cope, Francis Reeve, 1821-1909|Walker, Sarah Miller, 1799-1874|Cope, John Stokes, 1857-1915|Cope, Henry, 1850-1924|Cope, Mary Stokes, 1853-1888|Emlen, Eleanor Cope, 1854-1920|Cope, Susan L. Newbold, 1805-1872|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916",Correspondence|Voyages and travels|Sailing|Reading|Poetry|Health|Whooping cough|Weather,"HC.MC-1170, Box 3",hsc1420,,/object/hc106307
"1858 August, to My dear Annie",,1858-08-01,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104332,,Health,"HC.MC-1170, Box 3",hsc1085,,/object/hc104332
"1858 September, to Anne",,1858-09-01,letters (correspondence),,,,,Haverford (Pa. : Township),"Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104333,"Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Edgar, 1838-1895|Cope, Henry, 1793-1865|Cope, Rachel Reeve, 1794-1863",Family,"HC.MC-1170, Box 3",hsc1087,,/object/hc104333
"1858 November 20, Woodbourne, to Annie",,1858-11-20,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Anna Stewardson Brown, 1822-1916",hc:104334,"Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Edgar, 1838-1895|Stokes, John, 1800-1868|Cope, Rachel Reeve, 1794-1863|Cope, Thomas Pim, 1823-1900|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Henry, 1793-1865|Cope, Ruthanna, 1834-1879",Gossip,"HC.MC-1170, Box 3",hsc1088,,/object/hc104334
"1859 April, to Dearest Cousin Annie",,1859-04-01,letters (correspondence),,,,,"Montrose (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874",hc:106326,"Cope, Clementine, 1835-1903|Cope, Rachel Reeve, 1794-1863|Cope, Henry, 1793-1865|Cope, Edgar, 1838-1895|Cope, Thomas Pim, 1823-1900",Boredom|Social classes|Reading|Spring|Flowers|Health|Cod-liver oil,"HC.MC-1170, Box 3",hsc1439,,/object/hc106326
"1859 April 23, Philadelphia, to Sister",,1859-04-23,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104366,"Cleveland, Lillie|Biddle, Anna S.|Stokes, Hannah Smith, 1799-1859",Letter writing,"HC.MC-1170, Box 3",hsc1120,,/object/hc104366
"1859 November 1, Woodbourne, to My poor sick little dear cousin",,1859-11-01,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Montrose (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104335,"Cope, Susan L. Newbold, 1805-1872|Cope, William D. (William Drinker), 1798-1873|Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Thomas Pim, 1823-1900",Health,"HC.MC-1170, Box 3",hsc1089,,/object/hc104335
"1860 January 9, Woodbourne, to My very dear cousin",,1860-01-09,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Montrose (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104336,"Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Yarnall, Edward, 1799-1859|Cope, Thomas Pim, 1823-1900|Garrett, Elizabeth Waln Cope, 1841-1931",Death,"HC.MC-1170, Box 3",hsc1090,,/object/hc104336
"1860 April 10, to My dear sisters",,1860-04-10,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Eleanor, 1847-1860",hc:104337,"Cope, Susan L. Newbold, 1805-1872|Cope, Rachel Reeve, 1794-1863|Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Thomas Pim, 1823-1900|Cope, Edgar, 1838-1895",Furniture,"HC.MC-1170, Box 3",hsc1091,,/object/hc104337
"1860 May 2, Woodbourne, to Ruthanna Cope",This letter was written after her little sister Ellie's death. They all had scarlet-fever.,1860-05-02,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:94856,"Cope, Eleanor, 1847-1860",Death,"HC.MC-1170, Box 3",hsc0016,,/object/hc94856
"1860 May 18, Woodbourne, to My very dear Cousin",,1860-05-18,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104338,"Cope, Edgar, 1838-1895|Cope, Eleanor, 1847-1860",Death,"HC.MC-1170, Box 3",hsc1092,,/object/hc104338
"1860 August 12, Awbury, to Sisiter",,1860-08-12,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"Cape May (N.J.)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104370,"Cope, Ruthanna, 1834-1879|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Stork, Anna Brown Cope, b. 1862|Cope, Thomas P. (Thomas Pim), 1852-1944",Gossip,"HC.MC-1170, Box 3",hsc1124,,/object/hc104370
"1860 October (?), to dear Nancy",,1860-10-01,letters (correspondence),,"[Germantown (Philadelphia, Pa.)]",,,"Germantown (Philadelphia, Pa.)|Atlantic City (N.J.)|Montrose (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Archibald, Nancy",hc:104339,"Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Cope, Thomas Pim, 1823-1900|Cope, William D. (William Drinker), 1798-1873|Cope, Edgar, 1838-1895|Drinker, Henry W. (Henry Waln), 1787-1866",Letter writing,"HC.MC-1170, Box 3",hsc1093,,/object/hc104339
"1861 April 10, to Sisters",,1861-04-10,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916",hc:94855,"Cope, Edgar, 1838-1895",Family,"HC.MC-1170, Box 3",hsc0015,,/object/hc94855
"1861 April 28, Woodbourne, to My dear little cousin Anne",,1861-04-28,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Philadelphia (Pa.)|Oxford (England)|Hop Bottom (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104340,"Cope, Edgar, 1838-1895|Cope, Henry, 1793-1865|Cope, Thomas Pim, 1823-1900|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Garrett, Martha H., 1839-1927|Cope, Annette, 1843-1916|Cope, William D. (William Drinker), 1798-1873|Cope, Susan L. Newbold, 1805-1872|Garrett, Elizabeth Waln Cope, 1841-1931|Cope, Rachel Reeve, 1794-1863",Voyages and travels,"HC.MC-1170, Box 3",hsc1094,,/object/hc104340
"1861 August 12, Cape Island, N.J., to Father, Mother, & Aunt Mary",,1861-08-12,letters (correspondence),"Congress Hall, Cape Island",Cape May (N.J.),,,Cape May (N.J.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Haines, Mary D. (Mary Drinker Cope), 1819-1890",hc:104368,"Cope, Thomas P. (Thomas Pim), 1852-1944|Cope, Alfred, 1857-1897|Evans, Rachel Reeve Cope, 1850-1939",Voyages and travels,"HC.MC-1170, Box 3",hsc1122,,/object/hc104368
"1862 June 22, Connymede, to Dearest Cousin Sarah",,1862-06-22,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,"Woodbourne (Susquehanna County, Pa.)|Bethlehem (Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874",hc:106327,"Cope, Annette, 1843-1916|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Collins, Mary|Halsey, Lizzy|Frasier, Annie|Drinker, Annie, b. 1827|Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Drinker, Frances, b. 1841|Cope, Edgar, 1838-1895|Walker, George, 1797-1891|Shakespeare, William, 1564-1616",Voyages and travels|Apples|Roses|Nature|Friendship|Storms|Reading|Strawberries,"HC.MC-1170, Box 3",hsc1440,,/object/hc106327
"1862 August 31 (?), Connymeade, to Dearest cousin S",,1862-08-31,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,"Montrose (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944",,hc:104341,"Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Rachel Reeve, 1794-1863|Cope, Ruthanna, 1834-1879|Cope, Edgar, 1838-1895",Faith,"HC.MC-1170, Box 3",hsc1095,,/object/hc104341
"1862 November 14, to Dearest Cousin Sarah",,1862-10-14,letters (correspondence),,,,,"Chester County (Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874",hc:106328,"Curtis, George William, 1824-1892|Cope, Clementine, 1835-1903|Morris, Kate|Cope, Susan L. Newbold, 1805-1872|Ruskin, John, 1819-1900|Walker, George, 1797-1891",Lectures and lecturing|Baked products|Reading,"HC.MC-1170, Box 3",hsc1441,,/object/hc106328
"1862 December 3, to Dear Cousin Sarah",,1862-12-03,letters (correspondence),,,,,"Montrose (Susquehanna County, Pa.)|New York (N.Y.)|Virginia","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874",hc:106329,"Cope, Clementine, 1835-1903|Cope, Annette, 1843-1916|Logan, Mary|Cope, Susan L. Newbold, 1805-1872|Cope, Francis Reeve, 1821-1909|Yarnall, Mary|Cope, Edgar, 1838-1895|Cope, William D. (William Drinker), 1798-1873|Wood, James|Griffith, Harriett",Afternoon teas|Oranges|Knee--Wounds and injuries|Thanksgiving Day|Weather|Furniture,"HC.MC-1170, Box 3",hsc1442,,/object/hc106329
"1862 December 3, Connymeade, to Cousin Sarah",,1862-12-03,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,,"Cope, Clementine, 1835-1903",,hc:104342,"Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Susan L. Newbold, 1805-1872|Rose, Emily|Sayne, Mary",Family,"HC.MC-1170, Box 3",hsc1096,,/object/hc104342
