,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
10,"1821 November 28, Philadelphia, to Eleanor, Burlington",,1821-11-28,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1821,11,28
11,"Letter and attatched trade evaluation from Cropper, Benson & Co. to Thomas P. Cope, 1821 December 12",,1821-12-01,Liverpool (England),"Author (aut): Cropper, Benson & Co.","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1821,12,1
12,"Note from Thomas Jones, Mathematician, 1822",,1822,Liverpool (England),"Author (aut): Jones, Thomas",,1822,0,0
13,"Letter from Thomas Pim Cope to John Drinker, 1822 January 10",,1822-01-10,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",1822,1,10
14,"Letter from James Monroe to Thomas P. Cope, 1822 January 17",,1822-01-17,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,1,17
15,"Letter from James Monroe to Thomas P. Cope, 1822 January 19",,1822-01-19,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,1,19
17,"1822 February 15, Philadelphia, to My dear Elenor, Burlington",,1822-02-15,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825|Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1822,2,15
18,"Letter from James Monroe to Thomas P. Cope, 1822 May 12",,1822-03-12,"Henlopen, Cape (Del.)","Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,3,12
19,"Letter from James Monroe to Thomas P. Cope, 1822 May 14",,1822-05-14,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,5,14
20,"1822 June 19, Philadelphia, to My dearest Elenor",,1822-06-19,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1822,6,19
21,"Letter from James Monroe to Thomas P. Cope, 1822 June 20",,1822-06-20,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,6,20
22,"Letter from James Monroe to Thomas P. Cope, 1822 July 14",,1822-07-15,Liverpool (England),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,7,15
23,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1822 November 11",,1822-11-11,,"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,11,11
24,"Letter from John Drinker to Thomas Pim Cope, 1822 November 25",,1822-11-25,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,11,25
25,"Letter from Thomas Pim Cope to John Drinker, 1822 November 26",,1822-11-26,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",1822,11,26
26,"Letter from John Drinker to Thomas Pim Cope, 1822 November 26",,1822-11-26,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,11,26
27,"Letter from John Drinker to Thomas Pim Cope, 1822 November 29",,1822-11-29,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,11,29
28,"Letter from Thomas Pim Cope to his nephew, either Henry Waln or John Drinker, 1822 November 30",,1822-11-30,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,1822,11,30
30,"Letter from John Drinker to Thomas Pim Cope, 1822 December 20",,1822-12-20,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,12,20
31,"Letter from James S. Smith to Henry Hollingsworth relating to the Cope/Drinker plans to divide an estate, 1822 December 24",,1822-12-24,,"Author (aut): Smith, James Somers, 1782-1861","Addressee (rcp): Hollingsworth, Henry, 1781-1854",1822,12,24
32,"Letter from Thomas Pim Cope to John Drinker, 1822 December 28",,1822-12-28,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",1822,12,28
33,"1822 December 29, Philadelphia, to Eleanor Cope Tyson",,1822-12-29,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1822,12,29
34,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1822 December 30",,1822-12-30,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,12,30
35,"Letter from John Drinker to Thomas Pim Cope, 1822 December 31",,1822-12-31,,"Author (aut): Drinker, John, 1783-1824","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1822,12,31
36,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 January 1",,1823-01-01,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",1823,1,1
37,"Letter from Thomas Pim Cope to John Drinker, 1823 January 3",,1823-01-03,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",1823,1,3
38,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 January 8",,1823-01-08,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",1823,1,8
39,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 January 24",,1823-01-24,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1823,1,24
40,"1823 January 25, Philadelphia, to Dear Sister",This is actually three letters.,1823-01-25,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890|Author (aut): Cope, Caroline Rachel, 1799-1859","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1823,1,25
41,"Statement from Thomas Pim Cope concerning the estate of William W. Drinker's father, 1823 January 29",,1823-01-29,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,1823,1,29
42,"Statement from Horace Binney concerning the estate, 1823 January 30",,1823-01-30,Philadelphia (Pa.),"Author (aut): Binney, Horace, 1780-1875",,1823,1,30
43,"Letter from William Waln Drinker to Thomas Pim Cope, 1823 January 31",,1823-01-31,Philadelphia (Pa.),"Author (aut): Drinker, William Waln, 1799-1864","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1823,1,31
44,"Letter from Thomas Pim Cope to William Waln Drinker, 1823 February 3",,1823-02-03,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, William Waln, 1799-1864",1823,2,3
45,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1823 February 5",,1823-02-05,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",1823,2,5
46,"Letter from Thomas Pim Cope to Horace Binney, 1823 March 3",,1823-03-03,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Binney, Horace, 1780-1875",1823,3,3
47,"Letter from Joseph Reed Ingersoll to Horace Binney, 1823 March 5",,1823-03-05,,"Author (aut): Ingersoll, Joseph R. (Joseph Reed), 1786-1868","Addressee (rcp): Binney, Horace, 1780-1875",1823,3,5
48,"1823 March 20, Philadelphia, to My dear Eleanor, Burlington",,1823-03-20,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1823,3,20
49,"Letter from unknown sender to William Drinker Jr., 1823 June 5",Sender may be Thomas Pim Cope,1823-06-05,Philadelphia (Pa.),,"Addressee (rcp): Drinker, William, 1795-",1823,6,5
50,"Letter from Henry Waln Drinker to Thomas Pim Cope, 1823 August 11",,1823-08-11,Philadelphia County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1823,8,11
51,"Letter from William Waln Drinker to Thomas Pim Cope, 1823 August 12",,1823-08-12,,"Author (aut): Drinker, William Waln, 1799-1864","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1823,8,12
52,"1823 December 12, Philadelphia, to Elenor, Baltimore",,1823-12-12,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1823,12,12
53,"Letter from Thomas Pim Cope to John Murchie, 1824 January 5",,1824-01-05,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Murchie, John",1824,1,5
54,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1824 February 4",,1824-02-04,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",1824,2,4
55,"1824 September 8, Philadelphia, to Elenor, Locust Grove",,1824-09-08,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1824,9,8
56,"1824 September 13, Philadelphia, to my Ellen, New York",,1824-09-13,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1824,9,13
57,"1824 December 18, Philadelphia, to Josiah Forster",M' watermark.,1824-12-18,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1759-1839","Addressee (rcp): Forster, Josiah, 1782-1870",1824,12,18
58,"1825 May 15, Mauch Chunk, to Thos. P. Cope, Philadelphia",,1825-05-15,Jim Thorpe (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1825,5,15
59,"1825 August 10, to Henry, Rachel, and Eleanor, Philadelphia",,1825-08-10,,"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Cope, Henry, 1793-1865|Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1825,8,10
60,"Letter from Thomas Pim Cope to Mary Drinker Cope, 1825 October",,1825-10-01,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Mary Drinker, 1766-1825",1825,10,1
61,"1825 October 30, Stoddartsville, to Aunt Mary Cope",,1825-10-30,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890",1825,10,30
62,"1825 December 13, Philadelphia, to My dearly beloved Brother",,1825-12-13,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1825,12,13
63,"Letter from Thomas Pim Cope to Abigail Barker, 1826 January 2",,1826-01-02,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Barker, Abigail, 1773-1840",1826,1,2
64,"1826 September 12, Montrose, to Sisters, Philadelphia",,1826-09-12,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1826,9,12
65,"1826 October 22, to Brother, Philadelphia","Letter chronicles some of William D. Cope's visits to land tracts owned or previously owned by William Drinker in Susquehanna County, Pa. Prices for land and taxes in 1826 are mentioned throughout.
 
 William makes mention of land owners' using labor to pay road taxes instead of cash.
 
 Also contains William's account of getting lost on horseback in the forest of Susquehanna Co. during a thunderstorm, encountering what he believed could have been a panther.",1826-10-22,"Montrose (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1826,10,22
66,"1827 April 7, Philadelphia, to My dearest brother",,1827-04-07,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1827,4,7
68,"1828 August 2, Woodbourne, to Brother, Philadelphia",,1828-08-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1828,8,2
69,"1828 September 10, Woodbourne, to Brother, Philadelphia",,1828-09-10,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1828,9,10
70,"1828 November 17, Woodbourne, to Brother, Philadelphia",Letter introduces a legal action brought by William Drinker against a Montrose store-keeper named Martin Curtis over issues of land ownership.,1828-11-17,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1828,11,17
71,"Poem written for Elizabeth W. Cope by ""her attached Cara,"" 1828 December 5",,1828-12-05,,,"Addressee (rcp): Cope, Elizabeth W. (Elizabeth Stokes Waln), 1780-1852",1828,12,5
72,"1828 December 12, Woodbourne, to Brother, Philadelphia",,1828-12-12,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1828,12,12
73,"1829 February 16, Woodbourne, to Brother, Philadelphia",,1829-02-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1829,2,16
74,"Letter from Sandwith Drinker to his cousin, 1829 March",Recipient may have been Mary Drinker Cope,1829-03-01,,"Author (aut): Drinker, Sandwith, 1808-1858",,1829,3,1
75,"1829 March 30, to Dear Cousin",,1829-03-30,,"Author (aut): Drinker, Sandwith, 1808-1858",,1829,3,30
76,"1829 May 11, Woodbourne, to Brother, Philadelphia","Letter introduces a Scotch farmer recently hired by William D. Cope whose ""industry & fidelity"" William trusts out of the reputation of his countrymen. William regrets that the farmer has so many female relatives whom he cannot employ.
 
 Earliest reference to Elizabeth Stokes Waln Cope, second wife of father Thomas P. Cope, in letters of William D. Cope: ""our new Mother"".",1829-05-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1829,5,11
77,"Letter from Thomas Pim Cope to Henry Waln Drinker, 1829 May 12",,1829-05-12,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, Henry W. (Henry Waln), 1787-1866",1829,5,12
78,"1829 May 27, Woodbourne, to Brother, Philadelphia",,1829-05-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1829,5,27
79,"1829 June 29, Philada, to Brother",,1829-06-29,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1829,6,29
80,"1829 July 13, Woodbourne, to Brother, Philadelphia","Includes partial transcript of letter from Daniel Stroud to Enoch Walker on the subject of Hicksites and the 1827 separation.
 Note in other hand on last page reads: ""Hicksites- Quotation from letter of Daniel Stroud - W.D.C. improving his farm & buildings - Loves nature, ""James & Sally Biddle"" return to Montrose with relatives""",1829-07-13,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1829,7,13
82,"1829, August, 9, Philadelphia, to Dear Brother, Albany, N. Y.",,1829-08-09,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1829,8,9
83,"1829 August 25, Boston, to Father",Entire letter copied in another hand.,1829-08-25,Boston (Mass.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1829,8,25
84,"1829 August 29, New York, to children",,1829-08-29,New York (N.Y.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890|Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Thomas Pim, 1823-1900",1829,8,29
85,"Letter from William J. Duane to Jonathan Roberts, 1829 September 22",,1829-09-22,Baltimore (Md.),"Author (aut): Duane, William J. (William John), 1780-1865","Addressee (rcp): Roberts, Jonathan",1829,9,22
86,"1829 October 7, Woodbourne, to Brother, Philadelphia",,1829-10-07,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1829,10,7
87,"Letter from Thomas P. Cope to the Pres. & Directors of the Ch & Del Canal Company, 1829 November 2",,1829-11-02,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854",,1829,11,2
88,"Letter from William Drinker Cope to Thomas Pim Cope, 1830 February 24",,1830-02-24,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1830,2,24
89,"1830 March 17, Woodbourne, to Brother, Philadelphia",,1830-03-17,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,3,17
90,"1830 April 1, Woodbourne, to Brother, Philadelphia","Includes transcript of letter from Sharp D. Lewis, Treasurer of Luzerne County, to William D. Cope, regarding land speculation and particular tracts in Pennsylvania.
 Note in other hand on last page: ""Allusion to home with Enoch Walker & desire to have his own house""",1830-04-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,4,1
91,"1830 May 15, Woodbourne, to Brother, Philadelphia",,1830-05-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,5,15
92,"Letter from M. Carpenter to Thomas P. Cope, 1830 May 21",,1830-05-21,Buffalo (N.Y.),"Author (aut): Carpenter, M.",,1830,5,21
93,"1830 July 15, Woodbourne, to Brother, Philadelphia",,1830-07-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,7,15
94,"1830 July 29, Woodbourne, to Brother, Philadelphia","Includes William D. Cope's acknowledgment of Henry Cope's power of attorney, regarding collection of interest on loan to Chesapeake & Delaware Canal Co.
 William referenced Henry's description of ""ye proposed institution for imparting instruction in ye higher branches of learning to the children of Friends""--possibly an early reference to the Friends Central School, which preceded Haverford College.",1830-07-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,7,29
95,"1830 August 23, Woodbourne, to Brother, Philadelphia","William's description to brother Henry of the fire that recently destroyed his farm dwelling in Woodbourne, Pa. and the inabilities to have the property insured.",1830-08-23,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,8,23
96,"1830 September 2, Woodbourne, to Brother, Philadelphia",,1830-09-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,9,2
97,"1830 September 20, Woodbourne, to Sisters & Brother, Philadelphia","Two separate letters--the first addressed to ""Sisters, Caroline & Elenor"" and the second to ""Brother--sent as one to Henry Cope.",1830-09-20,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865|Addressee (rcp): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1830,9,20
98,"1830 October 16, Woodbourne, to Brother, Philadelphia",,1830-10-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,10,16
99,"1830 November 3, Greensboro, to Dear Father",Letter is typed and numbered (1). Handwritten copy not present.,1830-11-03,Greensboro (N.C.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1830,11,3
100,"1830 November 5, Philadelphia, to Dear Brother",,1830-11-05,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1830,11,5
101,"1830 November 10, Woodbourne, to Brother, Philadelphia",Includes William D. Cope's acknowledgment of Henry Cope's power of attorney regarding his investment in the Union Canal Company of Pennsylvania.,1830-11-10,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1830,11,10
102,"1830 December 28, Liverpool, to Thomas P Cope, Philadelphia",,1830-12-28,Liverpool (England),"Author (aut): Cropper, James, 1773-1840","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1830,12,28
104,"Letter from Horatio Gates Spafford to Thomas Pim Cope, 1831 January 13",,1831-01-13,Lansingburgh (N.Y.),"Author (aut): Spafford, Horatio Gates, 1778-1832","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1831,1,13
105,"1831 February 3, Woodbourne, to Dear Brother, Philadelphia","Mentions ""History of Pennsylvania from its Discovery by Europeans"", by Thomas Francis Gordon, 1787-1860.",1831-02-03,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1831,2,3
106,"Letter from Thomas Pim Cope to Horatio Gates Spafford, 1831 February 9",,1831-02-09,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Spafford, Horatio Gates, 1778-1832",1831,2,9
107,"1831 April 11, Mauch Church, to Friend Henry Cope",,1831-04-11,Jim Thorpe (Pa.),"Author (aut): Brown, John, 1800-1859","Addressee (rcp): Cope, Henry, 1793-1865",1831,4,11
108,"1831 June 7, Woodbourne, to Dear Brother, Philadelphia",,1831-06-07,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1831,6,7
109,"Letter from Thomas P. Cope to Jonathan Evans, 1831 July 22",,1831-07-22,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Evans, Jonathan, 1759-1839",1831,7,22
110,"1831 August 1, Philadelphia, to Sister",,1831-08-01,Philadelphia (Pa.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1831,8,1
111,1831 November 25,A short request for a meeting with the recipient.,1831-11-25,,"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1831,11,25
112,"Letter from Thomas Pim Cope to Chas. Miner, 1831 December 10",,1831-12-10,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Miner, Charles, 1780-1865",1831,12,10
113,"1832, to My Dear Cousin, Philadelphia",,1832,,"Author (aut): Shoemaker, Margaret","Addressee (rcp): Brown, Elizabeth S.",1832,0,0
114,"1832 January 5, London, to Mr. Cope",,1832-01-05,London (England),"Author (aut): Washington, James A.",,1832,1,5
115,"Letter from J. R. Burden to Thomas P. Cope, 1832 January 07",,1832-01-07,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-185",1832,1,7
116,"Letter from J. R. Burden to Thomas P. Cope, 1832 January 12",,1832-01-12,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1876","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-185",1832,1,12
