,Title,Description,Date Created,Origin,Author,Recipient,Start,start_lat,start_long,Year,Month,Day,Month Name,Season,Color
36,"1860 January 9, Woodbourne, to My very dear cousin",,1860-01-09,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1860,1,9,January,Winter,lightskyblue
38,"1860 May 2, Woodbourne, to Ruthanna Cope",This letter was written after her little sister Ellie's death. They all had scarlet-fever.,1860-05-02,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1860,5,2,May,Spring,green
39,"1860 May 18, Woodbourne, to My very dear Cousin",,1860-05-18,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1860,5,18,May,Spring,green
40,"1860 August 12, Awbury, to Sisiter",,1860-08-12,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1860,8,12,August,Summer,yellow
41,"1860 October (?), to dear Nancy",,1860-10-01,"Germantown (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Archibald, Nancy","{'lat': 40.04333333, 'long': -75.18}",40.04333333,-75.18,1860,10,1,October,Fall,orange
43,"1861 April 28, Woodbourne, to My dear little cousin Anne",,1861-04-28,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1861,4,28,April,Spring,green
44,"1861 August 12, Cape Island, N.J., to Father, Mother, & Aunt Mary",,1861-08-12,Cape May (N.J.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Haines, Mary D. (Mary Drinker Cope), 1819-1890","{'lat': 38.935, 'long': -74.9058333333333}",38.935,-74.9058333333333,1861,8,12,August,Summer,yellow
45,"1862 June 22, Connymede, to Dearest Cousin Sarah",,1862-06-22,"Overbrook (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,6,22,June,Summer,yellow
46,"1862 August 31 (?), Connymeade, to Dearest cousin S",,1862-08-31,"Overbrook (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944",,"{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,8,31,August,Summer,yellow
49,"1862 December 3, Connymeade, to Cousin Sarah",,1862-12-03,"Overbrook (Philadelphia, Pa.)","Cope, Clementine, 1835-1903",,"{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,12,3,December,Winter,lightskyblue
50,"1863 February 8, Connymede, to Cousin Sarah",,1863-02-08,"Overbrook (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1863,2,8,February,Winter,lightskyblue
51,"1863 April 8, Aubury, to my family",About 1/6 of this letter has been torn off.,1863-04-08,"Awbury (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1863,4,8,April,Spring,green
52,"1863 July 9, Airdrie, to Father & Mother",,1863-07-09,Paoli (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.04194444, 'long': -75.4761111111111}",40.04194444,-75.4761111111111,1863,7,9,July,Summer,yellow
53,"1863 August 29, West Point, to Mother",,1863-08-29,West Point (N.Y.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.39138889, 'long': -73.9558333333333}",41.39138889,-73.9558333333333,1863,8,29,August,Summer,yellow
54,"1863 August 30, Catskill, to My dear Mother","The Mount Washington mentioned in the letter is likely not the Mount Washington located in New Hampshire, as it lies too far to be seen from the Catskills.",1863-08-30,Catskill (N.Y.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 42.21722222, 'long': -73.8644444444445}",42.21722222,-73.8644444444445,1863,8,30,August,Summer,yellow
55,"1863 December 11, Awbury, to Cousin Clementine",,1863-12-11,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Clementine, 1835-1903","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1863,12,11,December,Winter,lightskyblue
56,"1864 April 25, Baltimore, to Net",,1864-04-25,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1864,4,25,April,Spring,green
57,"1864 August 31, Springfield, Mass, to Papa and Mama","This letter is edited in ink, probably in E.S.C.'s own hand at a later date.",1864-08-31,Springfield (Mass.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 42.10138889, 'long': -72.5897222222222}",42.10138889,-72.5897222222222,1864,8,31,August,Summer,yellow
58,"1864 October 9, Awbury, to Father and Mother",,1864-10-09,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916|Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1864,10,9,October,Fall,orange
59,"1864 October 18, Awbury, to Mama, Newport",,1864-10-18,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1864,10,18,October,Fall,orange
60,1865 March 27 to My dearest children,1865 written in pencil next to date; handwriting changes midway through letter due to Clementine's change of posture/position and then reverts back to normal again.,1865-03-27,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,3,27,March,Spring,green
61,"1865 April 11, B, to Mother and sisters","This letter was dated incorrectly (""64"") and edited in another hand. The correct date is 1865.",1865-04-11,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,4,11,April,Spring,green
62,"1865 April 20, Haverford, to Clemmy","Edward D. offers spiritual advice to cousin Clementine, largely in the way of quotations from the New Testiment on suffering, consolation, judgment and forgiveness.

Edward describes his experience as a groomsman at the wedding of Elizabeth S. and Alexis T. Cope, which Clementine apparently must not have attended. He was very much impressed with a prayer by minister Samuel Emlen.

Edward plans on maving into the house previously owned by former Haverford School principal Joseph Harlan.",1865-04-20,Haverford (Pa. : Township),"Cope, E. D. (Edward Drinker), 1840-1897","Cope, Clementine, 1835-1903","{'lat': 40.01305556, 'long': -75.2941666666667}",40.01305556,-75.2941666666667,1865,4,20,April,Spring,green
63,"1865 April 25, Baltimore, to Net","""64"" written in pencil and is an incorrect date .
Crosshatched, and stricken through, are the words ""They have very nice school books"" — the crosshatching matches the orientation of the text on the front page of the first sheet and is perpendicular to the text on the back page .
crosshatched along left side: ""this? scribble week? & think I should write to""

The lack of connection between subject matters in the first two and second two pages of the letter, the different sizes of the two sheets of paper, and the style of pagination indicate that the sheets may be from two separate letters. Additionally, the letter has no closing .

The town of Athensville is mentioned in the letter. Situated several miles from Philadelphia, Athensville was named in 1811 by Dr. James Anderson, a local landholder. Athensville was rechristened Ardmore (Gaelic for high ground or hill) in 1873 .",1865-04-25,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,4,25,April,Spring,green
64,"1865 May ?, 190 Calvert st, to Mother and sisters","Although this letter was dated May 1865 by the archivist, it was probably written earlier. Because the letter describes Clementine's journey to Baltimore, it may predate her first letter written from Baltimore in March 1865 .

The boardinghouse, run by Miss Talbot, at which Clementine stays is located at 190 Calvert Street.",1865-05,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,0,May,Spring,green
65,"1865 May 3, Baltimore, to Mother and Sisters","1865 written in pencil at top right
parenthetical, in pencil, below: ""(To all her Sarah now)""
Some significant portions of the letter are unreadable .",1865-05-03,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,3,May,Spring,green
66,"1865 May 7, to Mother &c.",Probably missing pages at the end. Joseph Schofield Hopkins and Edgar Cope both attended Haverford College in 1855.,1865-05-07,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,7,May,Spring,green
67,"1865 May 10, Baltimore, to Tom","Tom is Clementine's brother, Alexis Thomas Cope. ""Busy"" is a nickname for their brother Edgar Cope .

Both ""My Native Country, Thee"" and ""The Colored Volunteer"" were patriotic songs popular in the mid-nineteenth century. The latter was the regimental song of the Massachusetts 54th Colored Regiment, later portrayed in the film Glory.",1865-05-10,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,10,May,Spring,green
68,"1865 May 16, Baltimore, to My dear cousin",This letter is probably addressed to Clementine's cousin Mary Coale Yarnall.,1865-05-16,Baltimore (Md.),"Cope, Clementine, 1835-1903","Yarnall, Mary","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,16,May,Spring,green
69,"1865 May 21, Baltimore, to Mother and sisters","Dated by archivist : 1865

Note in pencil at end of letter: ""Rec'd package by E Carey but have not --- --- & dont know when I shall get the thing made.""

Fairfield is the country home of Alfred Cope, father of Elizabeth Waln Cope, the bride ""Lilly"" mentioned in the letter. Fairfield was located on York Road near Olney Avenue. Elizabeth married Philip Cresson Garrett on May 18, 1865. (From Stokes' Stokes Cope Emlen Evans Genealogy, cht. 3 and p. 39.)

Federal Hill overlooks the city and harbor of Baltimore and is so named because of the celebrations held there in 1788 when Maryland ratified the Federal Constitution. (From Miller's Baltimore Transitions: Views of an American City in Flux, p. 16.)

The Copes' home in Susquehanna is Woodbourne .

The monument is probably the Washington Monument in Baltimore. Clemmy refers to it in an earlier letter. (Photograph scanned from Miller's Baltimore Transitions: Views of an American City in Flux, p. 119.)",1865-05-21,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,5,21,May,Spring,green
70,"1865 June 7, B, to Mother and sister Annte","This letter appears to be a response to letters written by her mother and sister responding critically to her description of the party at Jesse Tyson's house .

Wynndown is likely the home in Overbrook, PA, of the Edward and Caroline Cope Yarnalls. The finding aid of MS Coll 1170 lists Wynndown as the 1873 home of Francis Cope Yarnall, Edward and Caroline's son.",1865-06-07,Baltimore (Md.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,6,7,June,Summer,yellow
71,"1865 June 10, Baltimore, to cousin Frank","Awbury is the Cope family enclave in Germantown, Philadelphia, PA.",1865-06-10,Baltimore (Md.),"Cope, Clementine, 1835-1903","Yarnall, Francis Cope, 1830-1890","{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1865,6,10,June,Summer,yellow
72,"1865 August 31, Conneymeade, to Dear Cousin Sarah",,1865-08-31,"Overbrook (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1865,8,31,August,Summer,yellow
73,"1866 September 8, Awbury, to Father",Discusses at the wedding of Hannah Rhoads Haines and John Biddle Garrett.,1866-09-08,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1866,9,8,September,Fall,orange
74,"1867 June 8, Newport, to Mother & Sisters",,1867-06-08,Newport (R.I.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872|Cope, Annette, 1843-1916|Cope, Caroline E. (Caroline Elizabeth), 1840-1944","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1867,6,8,June,Summer,yellow
75,"1867 July 21, Laurel House, to Father",,1867-07-21,Catskill (N.Y.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 42.21722222, 'long': -73.8644444444445}",42.21722222,-73.8644444444445,1867,7,21,July,Summer,yellow
76,"1867 August 8, Newport, to Father",,1867-08-08,Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1867,8,8,August,Summer,yellow
77,"1867 August 25, Newport, to Father",The John Jenks referred to may be John Story Jenks (1839?-1923).,1867-08-25,Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1867,8,25,August,Summer,yellow
78,"1867 September 1, Awbury, to Father",,1867-09-01,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1867,9,1,September,Fall,orange
79,"1867 September 23, Awbury, to Father",,1867-09-23,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1867,9,23,September,Fall,orange
80,"1868 February 13, Awbury, to My dearest",,1868-02-13,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",,"{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1868,2,13,February,Winter,lightskyblue
81,"1868 October 1, Newport, to Rachel",,1868-10-01,Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1868,10,1,October,Fall,orange
83,"1869 August 1, Awbury, to Rachel",,1869-08-01,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1869,8,1,August,Summer,yellow
84,"1869 August 11, Awbury, to My own dear sister",,1869-08-11,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1869,8,11,August,Summer,yellow
85,"1869 August 24, Cape May, to Rea","Author mentions ""Alice's Adventures in Wonderland.""",1869-08-27,Cape May (N.J.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 38.935, 'long': -74.9058333333333}",38.935,-74.9058333333333,1869,8,27,August,Summer,yellow
86,"1869 August 29, Cape May, to Rachel, Philadelphia",The envelope in which the letter was enclosed has a long note written on it at an undetermined later date by Elizabeth S. Cope.,1869-08-29,Cape May (N.J.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Evans, Jonathan, 1843-1911","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 38.935, 'long': -74.9058333333333}",38.935,-74.9058333333333,1869,8,29,August,Summer,yellow
90,"1869 October 3, Newport, to My very dear sister",,1869-10-03,Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1869,10,3,October,Fall,orange
91,"1869 October 10, London, to My dear Ann",,1869-10-10,London (England),"Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 51.50833333, 'long': -0.125555555555556}",51.50833333,-0.125555555555556,1869,10,10,October,Fall,orange
92,"1870 August 2, School Lane, to Mamma",,1870-08-02,"Germantown (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.04333333, 'long': -75.18}",40.04333333,-75.18,1870,8,2,August,Summer,yellow
93,"1872 August 6, Fall River, to Mama","Letter was begun at the Falls River (Mass.) railroad station, then finished and mailed in Boston.",1872-08-06,Fall River (Mass.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.70138889, 'long': -71.155}",41.70138889,-71.155,1872,8,6,August,Summer,yellow
94,"1872 August 13, Mount Desert, to Father, Mother, brother, & little sisters","The letter's recipients include ""brother and little sisters"" though it is unclear which specific siblings are being referred to. The little sisters are most likely Anna B. Stork (nee Cope), b. 1862, and Caroline M. Lewis (nee Cope), 1865-1953. The brother referred to may be Alfred Cope, 1857-1897; Thomas P. Cope (Thomas Pim), 1852-1944; or Francis Hazen Cope, 1859-1909.",1872-08-13,Mount Desert Island (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916","{'lat': 44.34888889, 'long': -68.3441666666667}",44.34888889,-68.3441666666667,1872,8,13,August,Summer,yellow
95,"1872 August 15, Mount Desert, to Mother","The Mary referred to may be Mary Brown, or Mary Stokes Cope.",1872-08-15,Mount Desert Island (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 44.34888889, 'long': -68.3441666666667}",44.34888889,-68.3441666666667,1872,8,15,August,Summer,yellow
96,"1872 August 18, Mount Desert, to Parents",,1872-08-18,Mount Desert Island (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916","{'lat': 44.34888889, 'long': -68.3441666666667}",44.34888889,-68.3441666666667,1872,8,18,August,Summer,yellow
98,"1872 September 23, Connymeade, to Dear Alexis",,1872-09-23,"Overbrook (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Alexis T. (Alexis Thomas), 1850-1883","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1872,9,23,September,Fall,orange
99,"1872 October 10, Awbury, to Father & Mother",,1872-10-20,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1872,10,20,October,Fall,orange
